Sample;"X(ms) [24,05,2024 10:41:39 735 UTC]";"IO,Entradas,Sensor[%DB1000,DBX58,5]";"Dados,PesoAtual[%DB1003,DBD2]";"Dados,PesoFiltrado[%DB1003,DBD6]";"Dados,IndicativoPesoNovo[%DB1003,DBX0,0]";"Dados,UltimoPeso[%DB1003,DBD10]";"Tendencia,Peso";"Tendencia,ColetaDados";;
333;"1,72E+12";0;"-11,75";"-0,050000001";1;280;278;0;;
334;"1,72E+12";0;"-15,75";"-0,949999988";1;280;278;0;;
335;"1,72E+12";0;"-11,75";"-0,949999988";1;280;278;0;;
336;"1,72E+12";0;"-3,75";"-1,75";1;280;278;0;;
337;"1,72E+12";0;"4,25";"-1,700000048";1;280;278;0;;
338;"1,72E+12";0;"13,25";"-1,700000048";1;280;278;0;;
339;"1,72E+12";0;"16,25";"-0,800000012";1;280;278;0;;
340;"1,72E+12";0;"14,25";"-0,25";1;280;278;0;;
341;"1,72E+12";0;"9,25";"-0,25";1;280;278;0;;
342;"1,72E+12";0;"-0,75";"-0,150000006";1;280;278;0;;
343;"1,72E+12";0;"-6,75";"-0,600000024";1;280;278;0;;
344;"1,72E+12";0;"-8,75";"-0,600000024";1;280;278;0;;
345;"1,72E+12";0;"-4,75";"-1,200000048";1;280;278;0;;
346;"1,72E+12";0;"-0,75";"-1,200000048";1;280;278;0;;
347;"1,72E+12";0;"3,25";"-1,200000048";1;280;278;0;;
348;"1,72E+12";0;"7,25";"-0,800000012";1;280;278;0;;
349;"1,72E+12";0;"9,25";"-0,349999994";1;280;278;0;;
350;"1,72E+12";0;"6,25";0;1;280;278;0;;
351;"1,72E+12";0;"2,25";0;1;280;278;0;;
352;"1,72E+12";0;"-2,75";0;1;280;278;0;;
353;"1,72E+12";0;"-5,75";"-0,050000001";1;280;278;0;;
354;"1,72E+12";0;"-4,75";"-0,050000001";1;280;278;0;;
355;"1,72E+12";0;"-1,75";"0,200000003";1;280;278;0;;
356;"1,72E+12";0;"2,25";"0,449999988";1;280;278;0;;
357;"1,72E+12";0;"5,25";"0,449999988";1;280;278;0;;
358;"1,72E+12";0;"7,25";"0,800000012";1;280;278;0;;
359;"1,72E+12";0;"7,25";"0,949999988";1;280;278;0;;
360;"1,72E+12";0;"2,25";"0,949999988";1;280;278;0;;
361;"1,72E+12";0;"0,25";"0,850000024";1;280;278;0;;
362;"1,72E+12";0;"-0,75";"1,100000024";1;280;278;0;;
363;"1,72E+12";0;"-0,75";"1,100000024";1;280;278;0;;
364;"1,72E+12";0;"2,25";"1,649999976";1;280;278;0;;
365;"1,72E+12";0;"5,25";"2,349999905";1;280;278;0;;
366;"1,72E+12";0;"8,25";"2,349999905";1;280;278;0;;
367;"1,72E+12";0;"6,25";"2,950000048";1;280;278;0;;
368;"1,72E+12";0;"1,25";"2,599999905";1;280;278;0;;
369;"1,72E+12";0;"-4,75";"1,549999952";1;280;278;0;;
370;"1,72E+12";0;"-8,75";"1,549999952";1;280;278;0;;
371;"1,72E+12";0;"-9,75";"0,649999976";1;280;278;0;;
372;"1,72E+12";0;"-12,75";"0,200000003";1;280;278;0;;
373;"1,72E+12";0;"-13,75";"0,200000003";1;280;278;0;;
374;"1,72E+12";0;"-11,75";"-0,050000001";1;280;278;0;;
375;"1,72E+12";0;"-0,75";"0,150000006";1;280;278;0;;
376;"1,72E+12";0;"6,25";"0,150000006";1;280;278;0;;
377;"1,72E+12";0;"7,25";"0,300000012";1;280;278;0;;
378;"1,72E+12";0;"4,25";"0,300000012";1;280;278;0;;
379;"1,72E+12";0;"0,25";"0,300000012";1;280;278;0;;
380;"1,72E+12";0;"-3,75";0;1;280;278;0;;
381;"1,72E+12";0;"-7,75";"-0,300000012";1;280;278;0;;
382;"1,72E+12";0;"-11,75";"-0,300000012";1;280;278;0;;
383;"1,72E+12";0;"-12,75";"-0,75";1;280;278;0;;
384;"1,72E+12";0;"-4,75";"-1,149999976";1;280;278;0;;
385;"1,72E+12";0;"7,25";"-1,149999976";1;280;278;0;;
386;"1,72E+12";0;"13,25";"-0,699999988";1;280;278;0;;
387;"1,72E+12";0;"13,25";"-0,300000012";1;280;278;0;;
388;"1,72E+12";0;"10,25";"-0,300000012";1;280;278;0;;
389;"1,72E+12";0;"5,25";"-0,150000006";1;280;278;0;;
390;"1,72E+12";0;"0,25";0;1;280;278;0;;
391;"1,72E+12";0;"-6,75";0;1;280;278;0;;
392;"1,72E+12";0;"-8,75";"-0,349999994";1;280;278;0;;
393;"1,72E+12";0;"-6,75";"-0,75";1;280;278;0;;
394;"1,72E+12";0;"1,25";"-0,75";1;280;278;0;;
395;"1,72E+12";0;"7,25";"-0,800000012";1;280;278;0;;
396;"1,72E+12";0;"8,25";"-0,850000024";1;280;278;0;;
397;"1,72E+12";0;"6,25";"-0,850000024";1;280;278;0;;
398;"1,72E+12";0;"1,25";"-0,850000024";1;280;278;0;;
399;"1,72E+12";0;"-2,75";"-0,550000012";1;280;278;0;;
400;"1,72E+12";0;"-6,75";"-0,449999988";1;280;278;0;;
401;"1,72E+12";0;"-8,75";"-0,449999988";1;280;278;0;;
402;"1,72E+12";0;"-6,75";"-0,400000006";1;280;278;0;;
403;"1,72E+12";0;"0,25";"-0,050000001";1;280;278;0;;
404;"1,72E+12";0;"5,25";"-0,050000001";1;280;278;0;;
405;"1,72E+12";0;"8,25";"0,25";1;280;278;0;;
406;"1,72E+12";0;"8,25";"0,25";1;280;278;0;;
407;"1,72E+12";0;"7,25";"0,349999994";1;280;278;0;;
408;"1,72E+12";0;"6,25";"0,349999994";1;280;278;0;;
409;"1,72E+12";0;"2,25";"0,300000012";1;280;278;0;;
410;"1,72E+12";0;"-2,75";"0,400000006";1;280;278;0;;
411;"1,72E+12";0;"-4,75";"0,400000006";1;280;278;0;;
412;"1,72E+12";0;"-3,75";"0,349999994";1;280;278;0;;
413;"1,72E+12";0;"2,25";"0,75";1;280;278;0;;
414;"1,72E+12";0;"6,25";"0,75";1;280;278;0;;
415;"1,72E+12";0;"9,25";"1,700000048";1;280;278;0;;
416;"1,72E+12";0;"9,25";"1,799999952";1;280;278;0;;
417;"1,72E+12";0;"7,25";"1,799999952";1;280;278;0;;
418;"1,72E+12";0;"-1,75";"1,5";1;280;278;0;;
419;"1,72E+12";0;"-7,75";"0,899999976";1;280;278;0;;
420;"1,72E+12";0;"-12,75";"0,899999976";1;280;278;0;;
421;"1,72E+12";0;"-11,75";0;1;280;278;0;;
422;"1,72E+12";0;"-7,75";"-0,25";1;280;278;0;;
423;"1,72E+12";0;"-2,75";"-0,200000003";1;280;278;0;;
424;"1,72E+12";0;"1,25";"-0,200000003";1;280;278;0;;
425;"1,72E+12";0;"5,25";"-0,200000003";1;280;278;0;;
426;"1,72E+12";0;"7,25";"-0,200000003";1;280;278;0;;
427;"1,72E+12";0;"5,25";"-0,200000003";1;280;278;0;;
428;"1,72E+12";0;"0,25";"-0,25";1;280;278;0;;
429;"1,72E+12";0;"-6,75";"-0,649999976";1;280;278;0;;
430;"1,72E+12";0;"-9,75";"-0,649999976";1;280;278;0;;
431;"1,72E+12";0;"-9,75";"-0,800000012";1;280;278;0;;
432;"1,72E+12";0;"-6,75";"-0,850000024";1;280;278;0;;
433;"1,72E+12";0;"-2,75";"-0,850000024";1;280;278;0;;
434;"1,72E+12";0;"2,25";"-0,649999976";1;280;278;0;;
435;"1,72E+12";0;"8,25";"-0,800000012";1;280;278;0;;
436;"1,72E+12";0;"10,25";"-0,800000012";1;280;278;0;;
437;"1,72E+12";0;"7,25";"-0,699999988";1;280;278;0;;
438;"1,72E+12";0;"1,25";"-0,649999976";1;280;278;0;;
439;"1,72E+12";0;"-4,75";"-0,649999976";1;280;278;0;;
440;"1,72E+12";0;"-6,75";-1;1;280;278;0;;
441;"1,72E+12";0;"-3,75";"-1,100000024";1;280;278;0;;
442;"1,72E+12";0;"1,25";"-1,100000024";1;280;278;0;;
443;"1,72E+12";0;"4,25";"-0,850000024";1;280;278;0;;
444;"1,72E+12";0;"8,25";"-0,949999988";1;280;278;0;;
445;"1,72E+12";0;"9,25";"-0,949999988";1;280;278;0;;
446;"1,72E+12";0;"5,25";"-0,949999988";1;280;278;0;;
447;"1,72E+12";0;"-0,75";"-1,049999952";1;280;278;0;;
448;"1,72E+12";0;"-6,75";"-1,049999952";1;280;278;0;;
449;"1,72E+12";0;"-6,75";"-1,299999952";1;280;278;0;;
450;"1,72E+12";0;"-3,75";-1;1;280;278;0;;
451;"1,72E+12";0;"1,25";"-0,349999994";1;280;278;0;;
452;"1,72E+12";0;"6,25";"-0,349999994";1;280;278;0;;
453;"1,72E+12";0;"8,25";"0,349999994";1;280;278;0;;
454;"1,72E+12";0;"9,25";"0,699999988";1;280;278;0;;
455;"1,72E+12";0;"6,25";"0,699999988";1;280;278;0;;
456;"1,72E+12";0;"-0,75";"0,649999976";1;280;278;0;;
457;"1,72E+12";0;"-6,75";"0,050000001";1;280;278;0;;
458;"1,72E+12";0;"-7,75";"0,050000001";1;280;278;0;;
459;"1,72E+12";0;"-5,75";0;1;280;278;0;;
460;"1,72E+12";0;"-0,75";"0,200000003";1;280;278;0;;
461;"1,72E+12";0;"2,25";"0,200000003";1;280;278;0;;
462;"1,72E+12";0;"7,25";"0,800000012";1;280;278;0;;
463;"1,72E+12";0;"11,25";"1,299999952";1;280;278;0;;
464;"1,72E+12";0;"10,25";"1,299999952";1;280;278;0;;
465;"1,72E+12";0;"4,25";"1,700000048";1;280;278;0;;
466;"1,72E+12";0;"-2,75";"1,399999976";1;280;278;0;;
467;"1,72E+12";0;"-10,75";"1,399999976";1;280;278;0;;
468;"1,72E+12";0;"-12,75";"0,5";1;280;278;0;;
469;"1,72E+12";0;"-10,75";"0,100000001";1;280;278;0;;
470;"1,72E+12";0;"-3,75";"0,100000001";1;280;278;0;;
471;"1,72E+12";0;"2,25";"0,25";1;280;278;0;;
472;"1,72E+12";0;"4,25";"0,300000012";1;280;278;0;;
473;"1,72E+12";0;"1,25";"0,300000012";1;280;278;0;;
474;"1,72E+12";0;"-2,75";"0,150000006";1;280;278;0;;
475;"1,72E+12";0;"-4,75";"-0,449999988";1;280;278;0;;
476;"1,72E+12";0;"-7,75";"-0,449999988";1;280;278;0;;
477;"1,72E+12";0;"-8,75";"-1,100000024";1;280;278;0;;
478;"1,72E+12";0;"-8,75";"-1,200000048";1;280;278;0;;
479;"1,72E+12";0;"-4,75";"-1,200000048";1;280;278;0;;
480;"1,72E+12";0;"1,25";"-1,100000024";1;280;278;0;;
481;"1,72E+12";0;"4,25";"-1,100000024";1;280;278;0;;
482;"1,72E+12";0;"4,25";"-1,200000048";1;280;278;0;;
483;"1,72E+12";0;"0,25";"-1,200000048";1;280;278;0;;
484;"1,72E+12";0;"-0,75";"-1,600000024";1;280;278;0;;
485;"1,72E+12";0;"1,25";"-1,850000024";1;280;278;0;;
486;"1,72E+12";0;"1,25";"-1,850000024";1;280;278;0;;
487;"1,72E+12";0;"-0,75";"-1,450000048";1;280;278;0;;
488;"1,72E+12";0;"-2,75";"-1,450000048";1;280;278;0;;
489;"1,72E+12";0;"0,25";"-1,200000048";1;280;278;0;;
490;"1,72E+12";0;"6,25";"-0,899999976";1;280;278;0;;
491;"1,72E+12";0;"10,25";"-0,899999976";1;280;278;0;;
492;"1,72E+12";0;"8,25";"-0,5";1;280;278;0;;
493;"1,72E+12";0;"4,25";"-0,449999988";1;280;278;0;;
494;"1,72E+12";0;"1,25";"-0,449999988";1;280;278;0;;
495;"1,72E+12";0;"-2,75";"-0,899999976";1;280;278;0;;
496;"1,72E+12";0;"-6,75";"-1,25";1;280;278;0;;
497;"1,72E+12";0;"-9,75";"-1,25";1;280;278;0;;
498;"1,72E+12";0;"-6,75";"-1,200000048";1;280;278;0;;
499;"1,72E+12";0;"-0,75";"-0,899999976";1;280;278;0;;
500;"1,72E+12";0;"4,25";"-0,5";1;280;278;0;;
501;"1,72E+12";0;"5,25";"-0,5";1;280;278;0;;
502;"1,72E+12";0;"4,25";"-0,349999994";1;280;278;0;;
503;"1,72E+12";0;"3,25";"-0,200000003";1;280;278;0;;
504;"1,72E+12";0;"1,25";"-0,200000003";1;280;278;0;;
505;"1,72E+12";0;"-2,75";0;1;280;278;0;;
506;"1,72E+12";0;"-5,75";"0,25";1;280;278;0;;
507;"1,72E+12";0;"-2,75";"0,25";1;280;278;0;;
508;"1,72E+12";0;"1,25";"0,550000012";1;280;278;0;;
509;"1,72E+12";0;"4,25";"0,850000024";1;280;278;0;;
510;"1,72E+12";0;"5,25";"0,850000024";1;280;278;0;;
511;"1,72E+12";0;"6,25";"1,049999952";1;280;278;0;;
512;"1,72E+12";0;"7,25";"1,149999976";1;280;278;0;;
513;"1,72E+12";0;"7,25";"1,149999976";1;280;278;0;;
514;"1,72E+12";0;"4,25";"1,5";1;280;278;0;;
515;"1,72E+12";0;"1,25";"1,649999976";1;280;278;0;;
516;"1,72E+12";0;"-0,75";"1,649999976";1;280;278;0;;
517;"1,72E+12";0;"-1,75";"1,549999952";1;280;278;0;;
518;"1,72E+12";0;"-1,75";"1,600000024";1;280;278;0;;
519;"1,72E+12";0;"-0,75";"1,600000024";1;280;278;0;;
520;"1,72E+12";0;"2,25";"1,549999952";1;280;278;0;;
521;"1,72E+12";0;"3,25";"1,149999976";1;280;278;0;;
522;"1,72E+12";0;"2,25";"0,850000024";1;280;278;0;;
523;"1,72E+12";0;"-2,75";"0,850000024";1;280;278;0;;
524;"1,72E+12";0;"-6,75";"0,649999976";1;280;278;0;;
525;"1,72E+12";0;"-8,75";"0,349999994";1;280;278;0;;
526;"1,72E+12";0;"-6,75";"0,349999994";1;280;278;0;;
527;"1,72E+12";0;"-4,75";"0,5";1;280;278;0;;
528;"1,72E+12";0;"-3,75";"0,649999976";1;280;278;0;;
529;"1,72E+12";0;"0,25";"0,649999976";1;280;278;0;;
530;"1,72E+12";0;"2,25";"0,449999988";1;280;278;0;;
531;"1,72E+12";0;"3,25";"0,349999994";1;280;278;0;;
532;"1,72E+12";0;"0,25";"0,349999994";1;280;278;0;;
533;"1,72E+12";0;"-3,75";"0,150000006";1;280;278;0;;
534;"1,72E+12";0;"-4,75";"-0,100000001";1;280;278;0;;
535;"1,72E+12";0;"-3,75";"-0,100000001";1;280;278;0;;
536;"1,72E+12";0;"-1,75";"-0,150000006";1;280;278;0;;
537;"1,72E+12";0;"-0,75";"-0,050000001";1;280;278;0;;
538;"1,72E+12";0;"1,25";"-0,050000001";1;280;278;0;;
539;"1,72E+12";0;"6,25";"-0,050000001";1;280;278;0;;
